ipo_id,stock_code,company_name_zh,ths_global_path,ths_global_leaf_bid,sw_path,sw_leaf_bid
HK_3750_HK_2025,3750.HK,宁德时代,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子元件,011003008002060149,电力设备 | 电池 | 锂电池,011008022005001
HK_0300_HK_2024,0300.HK,美的集团,非日常生活消费品 | 耐用消费品与服装 | 家庭耐用消费品 | 家用电器,011003004002024057,家用电器 | 白色家电 | 空调,011008007001001
HK_6936_HK_2024,6936.HK,顺丰控股,工业 | 运输 | 航空货运与物流Ⅲ | 航空货运与物流Ⅳ,011003003003017042,交通运输 | 物流 | 快递,011008013001003
HK_9973_HK_2025,9973.HK,奇瑞汽车,非日常生活消费品 | 汽车与汽车零部件 | 汽车零部件 | 汽车零件与设备,011003004001022050,汽车 | 乘用车 | 综合乘用车,011008006004002
HK_2714_HK_2026,2714.HK,牧原股份,日常消费品 | 食品、饮料与烟草 | 食品 | 包装食品与肉类,011003005002036095,农林牧渔 | 养殖业 | 生猪养殖,011008001006001
HK_3296_HK_2026,3296.HK,华勤技术,信息技术 | 软件与服务 | 信息技术服务 | 互联网服务和基础设施,011003008001056141,电子 | 消费电子 | 消费电子零部件及组装,011008005005002
HK_9878_HK_2022,9878.HK,汇通达网络,多品类零售,161004_25503030,计算机 | IT服务Ⅱ | IT服务Ⅲ,011008025002001
HK_6963_HK_2022,6963.HK,阳光保险,金融 | 保险Ⅱ | 保险Ⅲ | 人寿与健康保险,011003007003051121,非银金融 | 保险Ⅱ | 保险Ⅲ,011008018002001
HK_2423_HK_2022,2423.HK,贝壳-W,房地产经营公司,161004_60201020,房地产 | 房地产服务 | 房产租赁经纪,011008014002002
HK_6031_HK_2025,6031.HK,三一重工,工业 | 资本品 | 机械制造 | 建筑机械和重型运输设备,011003003001013029,机械设备 | 工程机械 | 工程机械整机,011008023004001
HK_1880_HK_2022,1880.HK,中国中免,非日常生活消费品 | 消费者服务 | 酒店、餐馆与休闲 | 酒店、度假村与豪华游轮,011003004003027065,商贸零售 | 旅游零售Ⅱ | 旅游零售Ⅲ,011008015005001
HK_1519_HK_2023,1519.HK,极兔速递-W,工业 | 运输 | 航空货运与物流Ⅲ | 航空货运与物流Ⅳ,011003003003017042,交通运输 | 物流 | 快递,011008013001003
HK_0699_HK_2025,0699.HK,均胜电子,非日常生活消费品 | 汽车与汽车零部件 | 汽车零部件 | 汽车零件与设备,011003004001022050,汽车 | 汽车零部件 | 汽车电子电气系统,011008006001005
HK_9866_HK_2022,9866.HK,蔚来-SW,非日常生活消费品 | 汽车与汽车零部件 | 汽车 | 汽车制造商,011003004001023052,汽车 | 乘用车 | 电动乘用车,011008006004001
HK_6613_HK_2025,6613.HK,蓝思科技,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子制造服务,011003008002060150,电子 | 消费电子 | 消费电子零部件及组装,011008005005002
HK_9696_HK_2022,9696.HK,天齐锂业,原材料 | 原材料Ⅱ | 金属与采矿 | 多种金属与采矿,011003002001006017,有色金属 | 能源金属 | 锂,011008004005003
HK_9927_HK_2025,9927.HK,赛力斯,非日常生活消费品 | 汽车与汽车零部件 | 汽车 | 汽车制造商,011003004001023052,汽车 | 乘用车 | 电动乘用车,011008006004001
HK_2579_HK_2025,2579.HK,中伟新材,原材料 | 原材料Ⅱ | 化学制品 | 商品化工,011003002001003008,电力设备 | 电池 | 电池化学品,011008022005002
HK_6655_HK_2022,6655.HK,华新建材,原材料 | 原材料Ⅱ | 建筑材料Ⅲ | 建筑材料Ⅳ,011003002001004013,建筑材料 | 水泥 | 水泥制造,011008020001001
HK_2602_HK_2022,2602.HK,万物云,房地产服务,161004_60201040,房地产 | 房地产服务 | 物业管理,011008014002001
HK_1698_HK_2022,1698.HK,腾讯音乐-SW,通讯业务 | 媒体与娱乐 | 娱乐 | 电影和娱乐,011003009002002001,传媒 | 数字媒体 | 音频媒体,011008026004002
HK_9611_HK_2026,9611.HK,龙旗科技,信息技术 | 技术硬件与设备 | 电脑与外围设备 | 电脑硬件、储存设备及电脑周边,011003008002059148,电子 | 消费电子 | 消费电子零部件及组装,011008005005002
HK_3931_HK_2022,3931.HK,中创新航,公用事业 | 公用事业Ⅱ | 独立电力生产商与能源贸易商Ⅲ | 新能源发电业者,011003010001070165,电力设备 | 电池 | 锂电池,011008022005001
HK_2580_HK_2025,2580.HK,奥克斯电气,非日常生活消费品 | 耐用消费品与服装 | 家庭耐用消费品 | 家用电器,011003004002024057,家用电器 | 白色家电 | 空调,011008007001001
HK_3288_HK_2025,3288.HK,海天味业,日常消费品 | 食品、饮料与烟草 | 食品 | 包装食品与肉类,011003005002036095,食品饮料 | 调味发酵品Ⅱ | 调味发酵品Ⅲ,011008008006001
HK_2050_HK_2025,2050.HK,三花智控,非日常生活消费品 | 耐用消费品与服装 | 家庭耐用消费品 | 家用电器,011003004002024057,家用电器 | 家电零部件Ⅱ | 家电零部件Ⅲ,011008007006001
HK_1276_HK_2025,1276.HK,恒瑞医药,医疗保健 | 制药、生物科技和生命科学 | 生物科技Ⅲ | 生物科技Ⅳ,011003006002043106,医药生物 | 化学制药 | 化学制剂,011008011001002
HK_6623_HK_2023,6623.HK,陆控,金融 | 金融服务 | 金融服务 | 综合金融服务,011003007002048113,非银金融 | 多元金融 | 其他多元金融,011008018003007
HK_2245_HK_2022,2245.HK,力勤资源,原材料 | 原材料Ⅱ | 金属与采矿 | 多种金属与采矿,011003002001006017,,
HK_0501_HK_2026,0501.HK,豪威集团,信息技术 | 半导体产品与设备Ⅱ | 半导体产品与设备Ⅲ | 半导体产品,011003008003063156,电子 | 半导体 | 数字芯片设计,011008005001003
HK_2097_HK_2025,2097.HK,蜜雪集团,多品类零售,161004_25503030,社会服务 | 酒店餐饮 | 餐饮,011008016004002
HK_2585_HK_2024,2585.HK,梦金园,非日常生活消费品 | 非必需消费品分销和零售 | 专营零售 | 其他专卖店,011003004005033083,,
HK_1828_HK_2025,1828.HK,富卫集团,金融 | 保险Ⅱ | 保险Ⅲ | 人寿与健康保险,011003007003051121,非银金融 | 保险Ⅱ | 保险Ⅲ,011008018002001
HK_2865_HK_2025,2865.HK,钧达股份,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子元件,011003008002060149,电力设备 | 光伏设备 | 光伏电池组件,011008022003002
HK_2768_HK_2026,2768.HK,国恩科技,原材料 | 原材料Ⅱ | 化学制品 | 商品化工,011003002001003008,基础化工 | 塑料 | 改性塑料,011008002004002
HK_7618_HK_2025,7618.HK,京东工业,工业 | 资本品 | 贸易公司与经销商Ⅲ | 贸易公司与经销商Ⅳ,011003003001014031,计算机 | 软件开发 | 垂直应用软件,011008025003001
HK_9885_HK_2023,9885.HK,药师帮,医疗保健 | 医疗保健设备与服务 | 医疗保健技术Ⅲ | 医疗保健技术Ⅳ,011003006001042105,计算机 | 软件开发 | 垂直应用软件,011008025003001
HK_9863_HK_2022,9863.HK,零跑汽车,非日常生活消费品 | 汽车与汽车零部件 | 汽车 | 汽车制造商,011003004001023052,汽车 | 乘用车 | 电动乘用车,011008006004001
HK_0470_HK_2026,0470.HK,先导智能,工业 | 资本品 | 电气设备 | 重型电气设备,011003003001011027,电力设备 | 电池 | 锂电专用设备,011008022005003
HK_2419_HK_2023,2419.HK,德康农牧,日常消费品 | 食品、饮料与烟草 | 食品 | 农产品与服务,011003005002036093,农林牧渔 | 养殖业 | 生猪养殖,011008001006001
HK_2259_HK_2025,2259.HK,紫金黄金国际,原材料 | 原材料Ⅱ | 金属与采矿 | 黄金,011003002001006018,有色金属 | 贵金属 | 黄金,011008004003001
HK_3660_HK_2022,3660.HK,奇富科技-S,金融 | 金融服务 | 金融服务 | 特殊金融服务,011003007002048115,,
HK_2648_HK_2025,2648.HK,安井食品,日常消费品 | 日常消费品分销和零售 | 日常消费品分销和零售 | 食品分销商,011003005001034087,食品饮料 | 食品加工 | 预加工食品,011008008001003
HK_2788_HK_2025,2788.HK,创新实业,原材料 | 原材料Ⅱ | 金属与采矿 | 铝,011003002001006016,有色金属 | 工业金属 | 铝,011008004002001
HK_0666_HK_2023,0666.HK,瑞浦兰钧,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子元件,011003008002060149,电力设备 | 电池 | 蓄电池及其他电池,011008022005005
HK_9690_HK_2023,9690.HK,途虎-W,非日常生活消费品 | 汽车与汽车零部件 | 汽车零部件 | 汽车零件与设备,011003004001022050,汽车 | 汽车服务 | 汽车综合服务,011008006002002
HK_2460_HK_2024,2460.HK,华润饮料,日常消费品 | 食品、饮料与烟草 | 饮料 | 软饮料与不含酒精饮料,011003005002035092,食品饮料 | 饮料乳品 | 软饮料,011008008004001
HK_7489_HK_2026,7489.HK,岚图汽车,非日常生活消费品 | 汽车与汽车零部件 | 汽车 | 汽车制造商,011003004001023052,,
HK_9896_HK_2022,9896.HK,名创优品,多品类零售,161004_25503030,商贸零售 | 专业连锁Ⅱ | 专业连锁Ⅲ,011008015003001
HK_2411_HK_2023,2411.HK,百果园集团,日常消费品 | 日常消费品分销和零售 | 日常消费品分销和零售 | 食品零售,011003005001034088,商贸零售 | 专业连锁Ⅱ | 专业连锁Ⅲ,011008015003001
HK_9980_HK_2026,9980.HK,东鹏饮料,日常消费品 | 食品、饮料与烟草 | 饮料 | 软饮料与不含酒精饮料,011003005002035092,食品饮料 | 饮料乳品 | 软饮料,011008008004001
HK_2520_HK_2023,2520.HK,山西安装,工业 | 资本品 | 建筑与工程Ⅲ | 建筑与工程Ⅳ,011003003001010025,建筑装饰 | 专业工程 | 其他专业工程,011008021004004
HK_2643_HK_2025,2643.HK,曹操出行,信息技术 | 软件与服务 | 软件 | 应用软件,011003008001057141,社会服务 | 本地生活服务Ⅱ | 本地生活服务Ⅲ,011008016002001
HK_1768_HK_2026,1768.HK,鸣鸣很忙,日常消费品 | 日常消费品分销和零售 | 日常消费品分销和零售 | 食品零售,011003005001034088,商贸零售 | 专业连锁Ⅱ | 专业连锁Ⅲ,011008015003001
HK_9930_HK_2023,9930.HK,宏信建发,工业 | 商业和专业服务 | 商业服务与商业用品 | 综合支持服务,011003003002015038,非银金融 | 多元金融 | 租赁,011008018003004
HK_9638_HK_2022,9638.HK,法拉帝,非日常生活消费品 | 耐用消费品与服装 | 休闲设备与用品 | 消闲用品,011003004002025059,,
HK_2465_HK_2024,2465.HK,龙蟠科技,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子元件,011003008002060149,电力设备 | 电池 | 电池化学品,011008022005002
HK_2519_HK_2024,2519.HK,傲基股份,非日常生活消费品 | 非必需消费品分销和零售 | 专营零售 | 家庭装饰零售,011003004005033085,商贸零售 | 一般零售 | 百货,011008015002001
HK_2476_HK_2026,2476.HK,胜宏科技,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子设备和仪器,011003008002060148,电子 | 元件 | 印制电路板,011008005002001
HK_1364_HK_2025,1364.HK,古茗,多品类零售,161004_25503030,社会服务 | 酒店餐饮 | 餐饮,011008016004002
HK_2507_HK_2024,2507.HK,西锐,工业 | 资本品 | 航空航天与国防 | 航天航空与国防,011003003001008023,国防军工 | 航空装备Ⅱ | 航空装备Ⅲ,011008024002001
HK_6693_HK_2025,6693.HK,赤峰黄金,原材料 | 原材料Ⅱ | 金属与采矿 | 多种金属与采矿,011003002001006017,有色金属 | 贵金属 | 黄金,011008004003001
HK_3896_HK_2022,3896.HK,金山云,信息技术 | 软件与服务 | 信息技术服务 | 互联网服务和基础设施,011003008001056141,计算机 | IT服务Ⅱ | IT服务Ⅲ,011008025002001
HK_6979_HK_2023,6979.HK,珍酒李渡,日常消费品 | 食品、饮料与烟草 | 饮料 | 酿酒商与葡萄酒商,011003005002035091,食品饮料 | 白酒Ⅱ | 白酒Ⅲ,011008008002001
HK_2603_HK_2025,2603.HK,吉宏股份,非日常生活消费品 | 非必需消费品分销和零售 | 经销商Ⅲ | 经销商Ⅳ,011003004005030075,商贸零售 | 互联网电商 | 跨境电商,011008015004002
HK_6680_HK_2022,6680.HK,金力永磁,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子元件,011003008002060149,有色金属 | 金属新材料 | 磁性材料,011008004001002
HK_9890_HK_2023,9890.HK,贪玩,通讯业务 | 媒体与娱乐 | 娱乐 | 互动家庭娱乐,011003009002002002,传媒 | 游戏Ⅱ | 游戏Ⅲ,011008026001001
HK_6887_HK_2025,6887.HK,东阳光药,医疗保健 | 制药、生物科技和生命科学 | 制药Ⅲ | 制药Ⅳ,011003006002044107,,
HK_2510_HK_2024,2510.HK,德翔海运,工业 | 运输 | 海上运输 | 海运,011003003003019044,交通运输 | 航运港口 | 航运,011008013004001
HK_2517_HK_2023,2517.HK,锅圈,日常消费品 | 日常消费品分销和零售 | 日常消费品分销和零售 | 食品零售,011003005001034088,食品饮料 | 食品加工 | 预加工食品,011008008001003
HK_2076_HK_2022,2076.HK,BOSS直聘-W,工业 | 商业和专业服务 | 专业服务 | 人力资源与就业服务,011003003002016040,,
HK_3986_HK_2026,3986.HK,兆易创新,信息技术 | 半导体产品与设备Ⅱ | 半导体产品与设备Ⅲ | 半导体产品,011003008003063156,电子 | 半导体 | 数字芯片设计,011008005001003
HK_9981_HK_2026,9981.HK,沃尔核材,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子设备和仪器,011003008002060148,电子 | 其他电子Ⅱ | 其他电子Ⅲ,011008005004001
HK_2555_HK_2024,2555.HK,茶百道,多品类零售,161004_25503030,社会服务 | 酒店餐饮 | 餐饮,011008016004002
HK_0638_HK_2025,0638.HK,广和通,信息技术 | 技术硬件与设备 | 通信设备Ⅲ | 通信设备Ⅳ,011003008002058145,通信 | 通信设备 | 通信终端及配件,011008027002003
HK_2482_HK_2023,2482.HK,维天运通,信息技术 | 软件与服务 | 信息技术服务 | 信息科技咨询与其它服务,011003008001056139,,
HK_6168_HK_2025,6168.HK,周六福,非日常生活消费品 | 耐用消费品与服装 | 纺织品、服装与奢侈品 | 服装、服饰与奢侈品,011003004002026061,纺织服饰 | 饰品 | 钟表珠宝,011008009003001
HK_2451_HK_2023,2451.HK,绿源集团控股,非日常生活消费品 | 汽车与汽车零部件 | 汽车零部件 | 汽车零件与设备,011003004001022050,,
HK_9658_HK_2022,9658.HK,特海国际,非日常生活消费品 | 消费者服务 | 酒店、餐馆与休闲 | 餐馆,011003004003027067,社会服务 | 酒店餐饮 | 餐饮,011008016004002
HK_9985_HK_2022,9985.HK,卫龙美味,日常消费品 | 日常消费品分销和零售 | 日常消费品分销和零售 | 食品零售,011003005001034088,食品饮料 | 休闲食品 | 零食,011008008005001
HK_9676_HK_2023,9676.HK,十月稻田,日常消费品 | 食品、饮料与烟草 | 食品 | 农产品与服务,011003005002036093,农林牧渔 | 农产品加工 | 粮油加工,011008001005002
HK_9886_HK_2022,9886.HK,叮当健康,多品类零售,161004_25503030,医药生物 | 医药商业 | 互联网药店,011008011004003
HK_2610_HK_2025,2610.HK,南山铝业国际,原材料 | 原材料Ⅱ | 金属与采矿 | 铝,011003002001006016,有色金属 | 工业金属 | 铝,011008004002001
HK_9879_HK_2024,9879.HK,米高集团,原材料 | 原材料Ⅱ | 化学制品 | 化肥与农用药剂,011003002001003010,,
HK_0314_HK_2022,0314.HK,思派健康,医疗保健 | 医疗保健设备与服务 | 医疗保健提供商与服务 | 保健护理产品经销商,011003006001041101,计算机 | 软件开发 | 垂直应用软件,011008025003001
HK_2425_HK_2022,2425.HK,澳亚集团,日常消费品 | 日常消费品分销和零售 | 日常消费品分销和零售 | 食品分销商,011003005001034087,,
HK_2715_HK_2026,2715.HK,埃斯顿,工业 | 资本品 | 机械制造 | 工业机械和用品及零部件,011003003001013030,机械设备 | 自动化设备 | 机器人,011008023005001
HK_0999_HK_2024,0999.HK,小菜园,非日常生活消费品 | 消费者服务 | 酒店、餐馆与休闲 | 餐馆,011003004003027067,社会服务 | 酒店餐饮 | 餐饮,011008016004002
HK_6960_HK_2025,6960.HK,双登股份,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子元件,011003008002060149,,
HK_6682_HK_2023,6682.HK,范式智能,信息技术 | 软件与服务 | 软件 | 系统软件,011003008001057142,计算机 | IT服务Ⅱ | IT服务Ⅲ,011008025002001
HK_2390_HK_2022,2390.HK,知乎-W,通讯业务 | 媒体与娱乐 | 互动媒体与服务Ⅲ | 互动媒体与服务Ⅳ,011003009002003001,传媒 | 数字媒体 | 文字媒体,011008026004005
HK_2145_HK_2022,2145.HK,上美股份,日常消费品 | 家庭与个人用品 | 个人护理用品 | 个人护理用品,011003005003039098,美容护理 | 化妆品 | 品牌化妆品,011008031002002
HK_3677_HK_2025,3677.HK,正力新能,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子元件,011003008002060149,电力设备 | 电池 | 锂电池,011008022005001
HK_9955_HK_2022,9955.HK,智云健康,医疗保健 | 医疗保健设备与服务 | 医疗保健设备与用品 | 医疗保健设备,011003006001040099,计算机 | 软件开发 | 垂直应用软件,011008025003001
HK_6831_HK_2025,6831.HK,绿茶集团,非日常生活消费品 | 消费者服务 | 酒店、餐馆与休闲 | 餐馆,011003004003027067,,
HK_2367_HK_2022,2367.HK,巨子生物,医疗保健 | 制药、生物科技和生命科学 | 生物科技Ⅲ | 生物科技Ⅳ,011003006002043106,美容护理 | 医疗美容 | 医美服务,011008031003002
HK_2589_HK_2025,2589.HK,沪上阿姨,日常消费品 | 食品、饮料与烟草 | 饮料 | 软饮料与不含酒精饮料,011003005002035092,社会服务 | 酒店餐饮 | 餐饮,011008016004002
HK_9860_HK_2023,9860.HK,艾迪康控股,医疗保健 | 医疗保健设备与服务 | 医疗保健提供商与服务 | 保健护理服务,011003006001041102,医药生物 | 医疗服务 | 诊断服务,011008011006001
HK_6686_HK_2022,6686.HK,诺亚控股,金融 | 金融服务 | 金融服务 | 特殊金融服务,011003007002048115,非银金融 | 多元金融 | 资产管理,011008018003006
HK_6181_HK_2024,6181.HK,老铺黄金,非日常生活消费品 | 非必需消费品分销和零售 | 专营零售 | 其他专卖店,011003004005033083,纺织服饰 | 饰品 | 钟表珠宝,011008009003001
HK_2418_HK_2022,2418.HK,德银天下,工业 | 资本品 | 贸易公司与经销商Ⅲ | 贸易公司与经销商Ⅳ,011003003001014031,,
HK_6166_HK_2025,6166.HK,剑桥科技,通讯业务 | 电信业务 | 综合电信业务Ⅲ | 综合电信业务Ⅳ,011003009001064158,通信 | 通信设备 | 通信终端及配件,011008027002003
HK_6810_HK_2026,6810.HK,商米科技-W,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子设备和仪器,011003008002060148,,
HK_1405_HK_2023,1405.HK,达势股份,日常消费品 | 日常消费品分销和零售 | 日常消费品分销和零售 | 食品分销商,011003005001034087,社会服务 | 酒店餐饮 | 餐饮,011008016004002
HK_2469_HK_2023,2469.HK,粉笔,非日常生活消费品 | 消费者服务 | 综合消费者服务 | 教育服务,011003004003028068,社会服务 | 教育 | 培训教育,011008016006002
HK_2420_HK_2022,2420.HK,子不语,多品类零售,161004_25503030,,
HK_2698_HK_2025,2698.HK,乐舒适,日常消费品 | 家庭与个人用品 | 居家用品Ⅲ | 居家用品Ⅳ,011003005003038097,美容护理 | 个护用品 | 生活用纸,011008031001001
HK_1318_HK_2024,1318.HK,毛戈平,日常消费品 | 家庭与个人用品 | 个人护理用品 | 个人护理用品,011003005003039098,美容护理 | 化妆品 | 品牌化妆品,011008031002002
HK_1187_HK_2026,1187.HK,可孚医疗,医疗保健 | 医疗保健设备与服务 | 医疗保健设备与用品 | 医疗保健设备,011003006001040099,医药生物 | 医疗器械 | 医疗耗材,011008011005002
HK_0816_HK_2022,0816.HK,金茂服务,房地产经营公司,161004_60201020,房地产 | 房地产服务 | 物业管理,011008014002001
HK_2581_HK_2025,2581.HK,明基医院,医疗保健 | 医疗保健设备与服务 | 医疗保健提供商与服务 | 保健护理服务,011003006001041102,,
HK_2881_HK_2024,2881.HK,武汉有机,原材料 | 原材料Ⅱ | 化学制品 | 多种化学制品,011003002001003009,,
HK_1989_HK_2026,1989.HK,广合科技,信息技术 | 技术硬件与设备 | 电子设备、仪器和元件 | 电子设备和仪器,011003008002060148,电子 | 元件 | 印制电路板,011008005002001
HK_2429_HK_2023,2429.HK,友宝在线,日常消费品 | 日常消费品分销和零售 | 日常消费品分销和零售 | 食品零售,011003005001034088,商贸零售 | 专业连锁Ⅱ | 专业连锁Ⅲ,011008015003001
HK_6661_HK_2022,6661.HK,湖州燃气,公用事业 | 公用事业Ⅱ | 燃气公用事业Ⅲ | 燃气公用事业Ⅳ,011003010001067161,,
HK_6086_HK_2024,6086.HK,方舟健客,日常消费品 | 日常消费品分销和零售 | 日常消费品分销和零售 | 药品零售,011003005001034086,医药生物 | 医药商业 | 互联网药店,011008011004003
HK_2560_HK_2025,2560.HK,海螺材料科技,原材料 | 原材料Ⅱ | 建筑材料Ⅲ | 建筑材料Ⅳ,011003002001004013,,
HK_2502_HK_2023,2502.HK,金源氢化,原材料 | 原材料Ⅱ | 化学制品 | 多种化学制品,011003002001003009,,
