block_id,l1_name,l2_name,l3_name,member_count,has_name
011002001001001,电讯业,电讯,卫星及无线通讯,7,1
011002001001002,,,,12,0
011002002001001,,,,11,0
011002002001002,公用事业,公用事业,燃气供应,22,1
011002002001003,,,,16,0
011002002001004,公用事业,公用事业,非传统/可再生能源,26,1
011002002001005,,,,1,0
011002003001001,金融业,保险,保险,19,1
011002003002001,金融业,银行,银行,37,1
011002003003001,金融业,其他金融,证券及经纪,46,1
011002003003002,金融业,其他金融,投资及资产管理,44,1
011002003003003,金融业,其他金融,信贷,48,1
011002003003004,金融业,其他金融,其他金融,20,1
011002004001001,地产建筑业,地产,地产代理,5,1
011002004001002,地产建筑业,地产,地产发展商,135,1
011002004001003,地产建筑业,地产,地产投资,55,1
011002004001004,,,,0,0
011002004001005,地产建筑业,地产,物业服务及管理,69,1
011002004002001,地产建筑业,建筑,建筑材料,32,1
011002004002002,地产建筑业,建筑,楼宇建造,130,1
011002004002003,地产建筑业,建筑,重型基建,52,1
011002005001003,资讯科技业,软件服务,应用软件,44,1
011002005001004,资讯科技业,软件服务,游戏软件,27,1
011002005002001,资讯科技业,资讯科技器材,消费性电讯设备,22,1
011002005002002,资讯科技业,资讯科技器材,电脑及周边器材,24,1
011002005003001,资讯科技业,半导体,半导体,25,1
011002005003002,资讯科技业,半导体,半导体设备与材料,9,1
011002006001001,,,,21,0
011002008001001,,,,22,0
011002008002001,能源业,石油及天然气,油气生产商,27,1
011002008002002,能源业,石油及天然气,油气设备与服务,20,1
011002009003001,原材料业,原材料,化肥及农用化合物,10,1
011002009003002,,,,7,0
011002009003003,,,,9,0
011002009003004,原材料业,原材料,特殊化工用品,30,1
011002009004001,原材料业,黄金及贵金属,黄金及贵金属,18,1
011002009005001,原材料业,一般金属及矿石,钢铁,23,1
011002009005002,原材料业,一般金属及矿石,铜,11,1
011002009005003,原材料业,一般金属及矿石,铝,7,1
011002009005004,原材料业,一般金属及矿石,其他金属及矿物,29,1
011002018001001,工业,工业工程,商业用车及货车,15,1
011002018001002,工业,工业工程,工业零件及器材,81,1
011002018001003,工业,工业工程,环保工程,32,1
011002018001004,工业,工业工程,重型机械,20,1
011002018001005,工业,工业工程,新能源物料,18,1
011002018001006,工业,工业工程,航空航天与国防,4,1
011002018001007,工业,工业工程,电子零件,27,1
011002018001008,工业,工业工程,能源储存装置,16,1
011002018002001,工业,工用运输,航运及港口,32,1
011002018002002,,,,13,0
011002018002003,工业,工用运输,航空货运及物流,20,1
011002018002004,工业,工用运输,公路运输,3,1
011002018003001,工业,工用支援,采购及供应链管理,16,1
011002018003002,工业,工用支援,印刷及包装,35,1
011002020001001,非必需性消费,汽车,汽车,18,1
011002020001002,非必需性消费,汽车,汽车零件,27,1
011002020002001,非必需性消费,家庭电器及用品,家庭电器,17,1
011002020002002,,,,19,0
011002020002003,非必需性消费,家庭电器及用品,玩具及消闲用品,24,1
011002020002004,非必需性消费,家庭电器及用品,家具,30,1
011002020003001,,,,17,0
011002020003002,,,,52,0
011002020003003,,,,13,0
011002020003004,非必需性消费,纺织及服饰,珠宝钟表,15,1
011002020003005,,,,20,0
011002020004001,非必需性消费,旅游及消闲设施,公共运输,8,1
011002020004002,,,,8,0
011002020004003,非必需性消费,旅游及消闲设施,赌场及博彩,17,1
011002020004004,,,,26,0
011002020004005,非必需性消费,旅游及消闲设施,旅游及观光,14,1
011002020004006,非必需性消费,旅游及消闲设施,餐饮,49,1
011002020004007,非必需性消费,旅游及消闲设施,消闲及文娱设施,10,1
011002020005001,非必需性消费,媒体及娱乐,广告及宣传,45,1
011002020005002,,,,5,0
011002020005003,非必需性消费,媒体及娱乐,影视娱乐,31,1
011002020005004,,,,14,0
011002020006001,非必需性消费,支援服务,教育,44,1
011002020006002,非必需性消费,支援服务,其他支援服务,43,1
011002020007001,非必需性消费,专业零售,汽车零售商,16,1
011002020007002,非必需性消费,专业零售,服装零售商,9,1
011002020007003,非必需性消费,专业零售,家居装修零售商,6,1
011002020007004,非必需性消费,专业零售,多元化零售商,12,1
011002020007005,非必需性消费,专业零售,其他零售商,16,1
011002021001001,必需性消费,食物饮品,包装食品,36,1
011002021001002,必需性消费,食物饮品,乳制品,9,1
011002021001003,必需性消费,食物饮品,非酒精饮料,22,1
011002021001004,必需性消费,食物饮品,酒精饮料,15,1
011002021001005,必需性消费,食物饮品,食品添加剂,12,1
011002021001006,,,,1,0
011002021002001,必需性消费,农业产品,禽畜肉类,6,1
011002021002002,必需性消费,农业产品,农产品,13,1
011002021002003,,,,2,0
011002021003001,必需性消费,消费者主要零售商,超市及便利店,9,1
011002021003002,必需性消费,消费者主要零售商,个人护理,7,1
011002022001001,医疗保健业,药品及生物科技,药品,54,1
011002022001002,医疗保健业,药品及生物科技,生物技术,80,1
011002022001003,,,,11,0
011002022001004,医疗保健业,药品及生物科技,药品分销,17,1
011002022002001,医疗保健业,其他医疗保健,医疗设备及用品,48,1
011002022002002,医疗保健业,其他医疗保健,医疗及医学美容服务,60,1
011002HS101015,,,,7,0
011002HS231030,非必需性消费,专业零售,摩托车及其他,3,1
011002HS232050,,,,0,0
011002HS235050,非必需性消费,专业零售,互动媒体及服务,17,1
011002HS237060,非必需性消费,专业零售,线上零售商,18,1
011002HS253030,,,,7,0
011002HS282030,医疗保健业,其他医疗保健,膳食补充品,11,1
011002HS282040,医疗保健业,其他医疗保健,护肤与化妆品,10,1
011002HS503050,金融业,其他金融,支付服务,8,1
011002HS701015,资讯科技业,半导体,电讯网路基建设施,16,1
011002HS702015,资讯科技业,半导体,数码解决方案服务,68,1
011002HS702025,资讯科技业,半导体,互联网服务及基础设施,21,1
